[2025-03-02 22:44:51] Application started.
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer1 address: 0x000000007B27F5E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000004D9AAF0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000022510060
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer1 address: 0x0000000022510340
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000005CFBF1E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000005CFBF2A0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000007B2804E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000005CFBF360
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000007B283280
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000007B2831E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000007B283140
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:47:28] Application started.
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CEE6A0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CDD8A0
